0x1CC,"Murciélago\n
"
0x1CD,"Mini Slime\n
"
0x1CE,"Slime\n
"
0x1CF,"Cabeza de Medusa\n
"
0x1D0,"Zombi\n
"
0x1D1,"Esqueleto\n
"
0x1D2,"Hombre Pulga\n
"
0x1D3,"Soldado Oseo\n
"
0x1D4,"Armadura\n
"
0x1D5,"Gran Murciélago\n
"
0x1D6,"Fantasma\n
"
0x1D7,"Pilar Oseo\n
"
0x1D8,"Gran Fantasma\n
"
0x1D9,"Dragón Blanco\n
"
0x1DA,"Armadura Roca\n
"
0x1DB,"Dragón Blanco 2\n
"
0x1DC,"Hombre Lagarto\n
"
0x1DD,"Armadura Viva\n
"
0x1DE,"Ectoplasma\n
"
0x1DF,"Esqueleto Llama\n
"
0x1E0,"Gran Esqueleto\n
"
0x1E1,"Hueso Volador\n
"
0x1E2,"Ojo Espía\n
"
0x1E3,"Esqueleto Mayal\n
"
0x1E4,"Esqueleto Lanza\n
"
0x1E5,"Esqueleto Rojo\n
"
0x1E6,"Costillar\n
"
0x1E7,"Lanzahuesos\n
"
0x1E8,"Esqueleto Mono\n
"
0x1E9,"Guardián Puerta\n
"
0x1EA,"Golem\n
"
0x1EB,"Caballero Cráneo\n
"
0x1EC,"Diablillo\n
"
0x1ED,"Espantapájaros\n
"
0x1EE,"Arácnido Huesudo\n
"
0x1EF,"Devorahombres\n
"
0x1F0,"Armadura Hacha\n
"
0x1F1,"Bruja\n
"
0x1F2,"Sirena \n
"
0x1F3,"Armadura Bomba\n
"
0x1F4,"Minotauro\n
"
0x1F5,"Globo\n
"
0x1F6,"Gran Globo\n
"
0x1F7,"Arquero Oseo\n
"
0x1F8,"Espada Regia\n
"
0x1F9,"Armadura Disco\n
"
0x1FA,"Diablo\n
"
0x1FB,"Triton\n
"
0x1FC,"Hombre Pez\n
"
0x1FD,"Arabaki\n
"
0x1FE,"Espada Regia 2\n
"
0x1FF,"Demonio Pluma\n
"
0x200,"Armadura Guardia\n
"
0x201,"Armadura Bumerán\n
"
0x202,"Gran Triton\n
"
0x203,"Slime Máximo\n
"
0x204,"Armadura Pulga\n
"
0x205,"Medusa Dorada\n
"
0x206,"Mímico\n
"
0x207,"Dragón Blanco 3\n
"
0x208,"Esqueleto Espejo\n
"
0x209,"O\n
"
0x20A,"Arpía\n
"
0x20B,"Armadura Hacha 2\n
"
0x20C,"Espectro\n
"
0x20D,"Guardián Bronce\n
"
0x20E,"Gran Ojo Espía\n
"
0x20F,"Legión (santa)\n
"
0x210,"Sombra\n
"
0x211,"Zombi Derretido\n
"
0x212,"Líquido Oseo\n
"
0x213,"Espada Regia 3\n
"
0x214,"Lagarto Tóxico\n
"
0x215,"Pazuzu\n
"
0x216,"Spriggan\n
"
0x217,"Gorgona\n
"
0x218,"Maestro Llama\n
"
0x219,"Arthro Esqueleto\n
"
0x21A,"Fantasma Raro\n
"
0x21B,"Esqueleto Vidrio\n
"
0x21C,"Armadura Triunfo\n
"
0x21D,"Martillo Doble\n
"
0x21E,"Armadura Disco 2\n
"
0x21F,"Minotauro 2\n
"
0x220,"Legión (cadáver)\n
"
0x221,"Talos\n
"
0x222,"Muerte\n
"
0x223,"Muerte\n
"
0x224,"Hada\n
"
0x225,"Silfo\n
"
0x226,"Lagarto Maestro\n
"
0x227,"Búho\n
"
0x228,"Hueso Claro\n
"
0x229,"Jp Pilar Oseo\n
"
0x22A,"Simon espectro\n
"
0x22B,"Maestro de Pica\n
"
0x22C,"Cíclope\n
"
0x22D,"Maxim\n
"
0x22E,"Drácula espectro\n
"
0x22F,"Drácula espectro\n
"
0x230,"NULL\n
"
0x231,"NULL\n
"
0x232,"NULL\n
"
0x233,"NULL\n
"
0x234,"NULL\n
"
0x235,"NULL\n
"
0x236,"NULL\n
"
0x237,"NULL\n
"
0x238,"NULL\n
"
0x239,"NULL\n
"
0x23A,"NULL\n
"
0x23B,"NULL\n
"
0x23C,"NULL\n
"
0x23D,"Esqueleto Vidrio\n
"
0x23E,"Mini Slime\n
"
0x23F,"Hombre Pulga\n
"
0x240,"Diablillo\n
"
0x241,"Triton\n
"
0x242,"Hombre Pez\n
"
0x243,"Talos\n
"
0x244,"Ojo Espía\n
"
0x245,"Armadura Rencor \n
"
0x246,"NULL\n
"
0x247,"NULL\n
"
0x248,"NULL\n
"
