0x022,"Poción\n
"
0x023,"Gran Poción\n
"
0x024,"Elixir\n
"
0x025,"Prisma Maná\n
"
0x026,"Gran Prisma Maná\n
"
0x027,"Muslo\n
"
0x028,"Pavo\n
"
0x029,"Antídoto\n
"
0x02A,"Purificante\n
"
0x02B,"Invencible\n
"
0x02C,"Llave Portal\n
"
0x02D,"Llave Cráneo\n
"
0x02E,"Llave Compuerta\n
"
0x02F,"Mapa Castillo 1\n
"
0x030,"Mapa Castillo 2\n
"
0x031,"Mapa Castillo 3\n
"
0x032,"Pista 1\n
"
0x033,"Pista 2\n
"
0x034,"Pista 3\n
"
0x035,"Pista 4\n
"
0x036,"Pista 5\n
"
0x037,"Pista 6\n
"
0x038,"Estrella Cenit\n
"
0x039,"Ópalo\n
"
0x03A,"Turquesa\n
"
0x03B,"Zafiro\n
"
0x03C,"Rubí\n
"
0x03D,"Diamante\n
"
0x03E,"Punta Demoledora\n
"
0x03F,"Punta Acero\n
"
0x040,"Punta Platino\n
"
0x041,"Poder Orbital\n
"
0x042,"Alma Christopher\n
"
0x043,"Gema Roja\n
"
0x044,"Gema Azul\n
"
0x045,"Gema Amarilla\n
"
0x046,"Gema Verde\n
"
0x047,"Armadura Cuero\n
"
0x048,"Peto de Caucho\n
"
0x049,"Armadura Campo\n
"
0x04A,"Cota de Plata\n
"
0x04B,"Túnica de Tela\n
"
0x04C,"Cota de Bronce\n
"
0x04D,"Cuero Duro\n
"
0x04E,"Coraza\n
"
0x04F,"Peto Acolchado\n
"
0x050,"Abrigo Mullido\n
"
0x051,"Armadura de Gala\n
"
0x052,"Cota de Malla\n
"
0x053,"Coraza Escamada\n
"
0x054,"Cota Curativa\n
"
0x055,"Coraza Guardián\n
"
0x056,"Cota Ardiente\n
"
0x057,"Brigantina\n
"
0x058,"Armadura Antigua\n
"
0x059,"Armadura Pesada\n
"
0x05A,"Malla de Plata\n
"
0x05B,"Cota Doble\n
"
0x05C,"Armadura Solar\n
"
0x05D,"Armadura Lunar\n
"
0x05E,"Armadura Batalla\n
"
0x05F,"Armadura Errante\n
"
0x060,"Coraza de Plata\n
"
0x061,"Malla Cerámica\n
"
0x062,"Armadura Mágica\n
"
0x063,"Malla Kaiser\n
"
0x064,"Ropa Casual\n
"
0x065,"Ropa Ligera\n
"
0x066,"Camiseta\n
"
0x067,"Túnica Fina\n
"
0x068,"Ropa Elegante\n
"
0x069,"Ropa Holgada\n
"
0x06A,"Abrigo Laminado\n
"
0x06B,"Túnica Gélida\n
"
0x06C,"Túnica de Noble\n
"
0x06D,"Túnica Mística\n
"
0x06E,"Túnica Trueno\n
"
0x06F,"Traje de Combate\n
"
0x070,"Túnica Vetusta\n
"
0x071,"Brazalete JB\n
"
0x072,"Gafas Nocturnas\n
"
0x073,"Brazalete MK\n
"
0x074,"Botas de Choque\n
"
0x075,"Bandana\n
"
0x076,"Turbante\n
"
0x077,"Diadema\n
"
0x078,"Gorro de Cuero\n
"
0x079,"Casco de Tela\n
"
0x07A,"Casco de Cuero\n
"
0x07B,"Sallet\n
"
0x07C,"Bicocette\n
"
0x07D,"Yelmo Corintio\n
"
0x07E,"Protector Cara\n
"
0x07F,"Pilos\n
"
0x080,"Bagonette\n
"
0x081,"Barbuta\n
"
0x082,"Casco Guardián\n
"
0x083,"Armet\n
"
0x084,"Bacinete\n
"
0x085,"Sombrero Seda\n
"
0x086,"Casco Barril\n
"
0x087,"Morrión\n
"
0x088,"Capellina\n
"
0x089,"Casco de Hierro\n
"
0x08A,"Casco Completo\n
"
0x08B,"Cabacete\n
"
0x08C,"Casco Langosta\n
"
0x08D,"Tiara Plata\n
"
0x08E,"Casco de Acero\n
"
0x08F,"Casco Vikingo\n
"
0x090,"Corona de Oro\n
"
0x091,"Corona Platino\n
"
0x092,"Sombrero Rojo\n
"
0x093,"Guantes de Cuero\n
"
0x094,"Guanteletes\n
"
0x095,"Guantes\n
"
0x096,"Guantes Duros\n
"
0x097,"Guante Guardián\n
"
0x098,"Guarda Brazos\n
"
0x099,"Placas de Brazo\n
"
0x09A,"Guante de Sangre\n
"
0x09B,"Guante de Acero\n
"
0x09C,"Botas de Cuero\n
"
0x09D,"Grebas de Cuero\n
"
0x09E,"Botas Tobilleras\n
"
0x09F,"Botas de Bronce\n
"
0x0A0,"Botas Guardián\n
"
0x0A1,"Botas de Hierro\n
"
0x0A2,"Grebas\n
"
0x0A3,"Polainas\n
"
0x0A4,"Botas de Plata\n
"
0x0A5,"Botas Aladas\n
"
0x0A6,"Zueco Platino\n
"
0x0A7,"Botas Infinitas\n
"
0x0A8,"Capa de Seda\n
"
0x0A9,"Capa Terciopelo\n
"
0x0AA,"Capa Esmeralda\n
"
0x0AB,"Capa de Viento\n
"
0x0AC,"Capa Carmesí\n
"
0x0AD,"Capa Ninja\n
"
0x0AE,"Capa Azabache\n
"
0x0AF,"Muñequera\n
"
0x0B0,"Brazalete\n
"
0x0B1,"Puño Kaiser\n
"
0x0B2,"Brazal de Plata\n
"
0x0B3,"Brazal Blasón\n
"
