0x249,$1
0x24A,$5
0x24B,$25
0x24C,$100
0x24D,$250
0x24E,$400
0x24F,$2000
0x250,"¿Guardar? \n
"
0x251," Sí\n
"
0x252," No \n
"
0x253,"??????????\n
"
0x254,"Revisar equipamiento.\n
"
0x255,"Examinar/usar objetos\n
"
0x256,"Elegir libro de hechizos.\n
"
0x257,"Activar/desactivar objetos mágicos.\n
"
0x258,"Revisar controles.\n
"
0x259,"???\n
"
0x25A,"Guardado Rápido\n
"
0x25B,"Esta función no se puede usar\n
hasta guardar la partida.\n
"
0x25C,"¿Hacer guardado rápido ahora?\n
"
0x25D,"−−−\n
"
0x25E,"No equipar objeto.\n
"
0x25F,"Objeto no equipado.\n
"
0x260,"Pulsa SELECT para volver\n
a configuración por defecto.\n
"
0x261,"La configuración de controles\n
está en conflicto\n
"
0x262,"Puedes ver datos de los enemigos\n
vencidos.\n
"
0x263,"Puedes ver los datos de muebles\n
obtenidos.\n
"
0x264,"Puedes escuchar la música\n
y los efectos de sonido.\n
"
0x265," fue usado\n
"
0x266,"Alzaste el brazalete de Maxim.\n
"
0x267,"Un gran caudal de agua se drenó.\n
"
0x268,"Iniciar partida.\n
"
0x269,"Cambiar nombre.\n
"
0x26A,"Cambiar ubicación de la partida.\n
"
0x26B,"Borrar partida.\n
"
0x26C,"Elige la partida a copiar.\n
"
0x26D,"Elige dónde copiar la partida.\n
"
0x26E,"Elige la partida a borrar.\n
"
0x26F,"Iniciar nueva partida. \n
"
0x270,"Continuar.\n
"
0x271,"Elige la partida a cambiar.\n
"
0x272,"Está cerrado.\n
"
0x273,"Está sellado.\n
"
0x274,"Está cerrado con magia. \n
"
0x275,"objeto mágico \n
"
0x276,"arma \n
"
0x277,"rollo mágico \n
"
0x278,"Obtenido \n
"
0x279,"Puedes escuchar la música\n
del juego. \n
"
0x27A,"Puedes escuchar los\n
efectos de sonido.\n
"
0x27B,   
0x27C,"Un pasadizo se abrió en algún lugar.\n
"
0x27D,"Los restos de Drácula brillan.\n
"
0x27E,"No es posible hacer un guardado\n
rápido en este momento.\n
"
0x27F,"Oyes máquinas moverse arriba.\n
"
0x280,Mercader
0x281,"{PORTRAIT 0x0000}{NAME 0x0280}
Bienvenido.\n
{WAITINPUT}{NEWCHAR}{PORTRAIT 0x0001}{NAME 0x0000}
?!\n
¿Por qué tienes una tienda\n
en un lugar como este?\n
{WAITINPUT}{NEWCHAR}{PORTRAIT 0x0000}{NAME 0x0280}
Bueno, siendo el mercader\n
errante que soy, \n
durante mis viajes...\n
{WAITINPUT}{SAMECHAR}
De repente me tragó\n
una densa niebla... y \n
acabé aquí.\n
{WAITINPUT}{NEWCHAR}{PORTRAIT 0x0001}{NAME 0x0000}
Aun así, no hace falta\n
poner una tienda\n
en un lugar como este... \n
{WAITINPUT}{NEWCHAR}{PORTRAIT 0x0000}{NAME 0x0280}
Al principio, pasé un\n
tiempo buscando una salida.\n
No encontré ninguna, así que...\n
{WAITINPUT}{SAMECHAR}
sin otras opciones,\n
abrí mi negocio\n
justo aquí...\n
{WAITINPUT}{SAMECHAR}
Bueno, ¿en qué puedo ayudarte?\n
{WAITINPUT}{NEWCHAR}"
0x282,"{PORTRAIT 0x0000}{NAME 0x0280}
Nos volvemos a encontrar.\n
Me alegra verte bien.\n
¿En qué puedo ayudarte?\n
{WAITINPUT}{NEWCHAR}"
0x283,"{PORTRAIT 0x0000}{NAME 0x0280}
¿Ah? ¿Olvidaste\n
algo?\n
{WAITINPUT}{NEWCHAR}"
0x284,"Por favor, compra algo. \n
Tienes dinero, ¿no?\n
"
0x285,"Si me muestras algo valioso, \n
puedo darte monedas por ello.\n
"
0x286,"¿Ya terminaste tus asuntos \n
conmigo?\n
"
0x287,"{PORTRAIT 0x0001}{NAME 0x0000}
Vaya, qué buena habitación. \n
Quizá un poco sosa.\n
Tal vez, con algunos muebles...\n
{WAITINPUT}{SAMECHAR}
Vale, ¡probaré a \n
poner esto justo \n
aquí!\n
{WAITINPUT}{NEWCHAR}"
0x288,"{PORTRAIT 0x0001}{NAME 0x0000}
Vaya, qué buena habitación. \n
Quizá un poco sosa.\n
Tal vez, con algunos muebles...\n
{WAITINPUT}{NEWCHAR}"
0x289,"Colocando muebles\n
"
0x28A,"{PORTRAIT 0x0001}{NAME 0x0000}
Por alguna razón, las cosas \n
se ven algo distintas de\n
como eran antes...\n
{WAITINPUT}{NEWCHAR}"
0x28B,"{PORTRAIT 0x0001}{NAME 0x0000}
Este es el mismo lugar en \n
el que estaba, pero el aura \n
ha cambiado.\n
{WAITINPUT}{SAMECHAR}
Ya veo. Esto es lo que \n
Muerte quiso decir cuando \n
dijo que había dos castillos.\n
{WAITINPUT}{NEWCHAR}"
