0x1CC,"Bat\n
"
0x1CD,"Tiny Slime\n
"
0x1CE,"Slime\n
"
0x1CF,"Medusa Head\n
"
0x1D0,"Zombie\n
"
0x1D1,"Skeleton\n
"
0x1D2,"Fleaman\n
"
0x1D3,"Bone Soldier\n
"
0x1D4,"Armor Knight\n
"
0x1D5,"Giant Bat\n
"
0x1D6,"Ghost\n
"
0x1D7,"Bone Pillar\n
"
0x1D8,"Large Ghost\n
"
0x1D9,"White Dragon\n
"
0x1DA,"Rock Armor\n
"
0x1DB,"White Dragon Lv2\n
"
0x1DC,"Lizard Man\n
"
0x1DD,"Living Armor\n
"
0x1DE,"Ectoplasm\n
"
0x1DF,"Skeleton Blaze\n
"
0x1E0,"Big Skeleton\n
"
0x1E1,"Flying Bone\n
"
0x1E2,"Peeping Eye\n
"
0x1E3,"Skeleton Flail\n
"
0x1E4,"Skeleton Spear\n
"
0x1E5,"Red Skeleton\n
"
0x1E6,"Skeleton Rib\n
"
0x1E7,"Bone Thrower\n
"
0x1E8,"Skeleton Ape\n
"
0x1E9,"Gate Guarder\n
"
0x1EA,"Golem\n
"
0x1EB,"Skull Knight\n
"
0x1EC,"Tiny Devil\n
"
0x1ED,"Scarecrow\n
"
0x1EE,"Skeleton Spider\n
"
0x1EF,"Man−eater\n
"
0x1F0,"Axe Armor\n
"
0x1F1,"Witch\n
"
0x1F2,"Siren \n
"
0x1F3,"Bomber Armor\n
"
0x1F4,"Minotaur\n
"
0x1F5,"Balloon\n
"
0x1F6,"Big Balloon\n
"
0x1F7,"Bone Archer\n
"
0x1F8,"Ruler Sword\n
"
0x1F9,"Disc Armor\n
"
0x1FA,"Devil\n
"
0x1FB,"Merman\n
"
0x1FC,"Fishman\n
"
0x1FD,"Arabaki\n
"
0x1FE,"Ruler Sword Lv2\n
"
0x1FF,"Feather Demon\n
"
0x200,"Guardian Armor\n
"
0x201,"Boomerang Armor\n
"
0x202,"Giant Merman\n
"
0x203,"Max Slimer\n
"
0x204,"Fleaman Armor\n
"
0x205,"Gold Medusa\n
"
0x206,"Mimic\n
"
0x207,"White Dragon Lv3\n
"
0x208,"Skeleton Mirror\n
"
0x209,"O\n
"
0x20A,"Harpy\n
"
0x20B,"Axe Armor Lv2\n
"
0x20C,"Specter\n
"
0x20D,"Bronze Guarder\n
"
0x20E,"Peeping Big\n
"
0x20F,"Legion (saint)\n
"
0x210,"Shadow\n
"
0x211,"Melty Zombie\n
"
0x212,"Bone Liquid\n
"
0x213,"Ruler Sword Lv3\n
"
0x214,"Poison Lizard\n
"
0x215,"Pazuzu\n
"
0x216,"Spriggan\n
"
0x217,"Gorgon\n
"
0x218,"Blaze Master\n
"
0x219,"Arthro Skeleton\n
"
0x21A,"Rare Ghost\n
"
0x21B,"Skeleton Glass\n
"
0x21C,"Victory Armor\n
"
0x21D,"Hammer−Hammer\n
"
0x21E,"Disc Armor Lv2\n
"
0x21F,"Minotaur Lv2\n
"
0x220,"Legion (corpse)\n
"
0x221,"Talos\n
"
0x222,"Death\n
"
0x223,"Death\n
"
0x224,"Pixie\n
"
0x225,"Sylph\n
"
0x226,"Master Lizard\n
"
0x227,"Owl\n
"
0x228,"Clear Bone\n
"
0x229,"Jp Bonepillar\n
"
0x22A,"Simon Wraith\n
"
0x22B,"Pike Master\n
"
0x22C,"Cyclops\n
"
0x22D,"Maxim\n
"
0x22E,"Dracula Wraith\n
"
0x22F,"Dracula Wraith\n
"
0x230,"NULL\n
"
0x231,"NULL\n
"
0x232,"NULL\n
"
0x233,"NULL\n
"
0x234,"NULL\n
"
0x235,"NULL\n
"
0x236,"NULL\n
"
0x237,"NULL\n
"
0x238,"NULL\n
"
0x239,"NULL\n
"
0x23A,"NULL\n
"
0x23B,"NULL\n
"
0x23C,"NULL\n
"
0x23D,"Skeleton Glass\n
"
0x23E,"Tiny Slime\n
"
0x23F,"Fleaman\n
"
0x240,"Tiny Devil\n
"
0x241,"Merman\n
"
0x242,"Fishman\n
"
0x243,"Talos\n
"
0x244,"Peeping Eye\n
"
0x245,"Revenge Armor \n
"
0x246,"NULL\n
"
0x247,"NULL\n
"
0x248,"NULL\n
"
