0x022,"Potion\n
"
0x023,"High Potion\n
"
0x024,"Elixir\n
"
0x025,"Mana Prism\n
"
0x026,"Big Mana Prism\n
"
0x027,"Drumstick\n
"
0x028,"Turkey\n
"
0x029,"Anti−venom\n
"
0x02A,"Uncurse Potion\n
"
0x02B,"Medicine Jar\n
"
0x02C,"Lure Key\n
"
0x02D,"Skull Key\n
"
0x02E,"Floodgate Key\n
"
0x02F,"Castle Map 1\n
"
0x030,"Castle Map 2\n
"
0x031,"Castle Map 3\n
"
0x032,"Hint Card 1\n
"
0x033,"Hint Card 2\n
"
0x034,"Hint Card 3\n
"
0x035,"Hint Card 4\n
"
0x036,"Hint Card 5\n
"
0x037,"Hint Card 6\n
"
0x038,"Noon Star\n
"
0x039,"Opal\n
"
0x03A,"Turquoise\n
"
0x03B,"Sapphire\n
"
0x03C,"Ruby\n
"
0x03D,"Diamond\n
"
0x03E,"Crushing Stone\n
"
0x03F,"Steel Tip\n
"
0x040,"Platinum Tip\n
"
0x041,"Energy Circle\n
"
0x042,"Bullet Tip\n
"
0x043,"Red Stone\n
"
0x044,"Blue Stone\n
"
0x045,"Yellow Stone\n
"
0x046,"Green Stone\n
"
0x047,"Leather Armor\n
"
0x048,"Rubber Armor\n
"
0x049,"Field Armor\n
"
0x04A,"Plate Coat\n
"
0x04B,"Cloth Tunic\n
"
0x04C,"Bronze Armor\n
"
0x04D,"Rock Leather\n
"
0x04E,"Cuirass Armor\n
"
0x04F,"Padded Armor\n
"
0x050,"Puff Coat\n
"
0x051,"Parade Armor\n
"
0x052,"Chain Mail\n
"
0x053,"Scale Armor\n
"
0x054,"Healing Mail\n
"
0x055,"Guardian Armor\n
"
0x056,"Fire Mail\n
"
0x057,"Brigandine\n
"
0x058,"Ancient Armor\n
"
0x059,"Heavy Armor\n
"
0x05A,"Plate Mail\n
"
0x05B,"Double Mail\n
"
0x05C,"Sun Armor\n
"
0x05D,"Moon Armor\n
"
0x05E,"Battle Armor\n
"
0x05F,"Walk Armor\n
"
0x060,"Silver Armor\n
"
0x061,"Ceramic Mail\n
"
0x062,"Magical Armor\n
"
0x063,"Kaiser Mail\n
"
0x064,"Casual Wear\n
"
0x065,"Summer Clothes\n
"
0x066,"T − Shirt\n
"
0x067,"Thin Robe\n
"
0x068,"Fancy Clothes\n
"
0x069,"Loose Clothing\n
"
0x06A,"Ramail Coat\n
"
0x06B,"Blizzard Robe\n
"
0x06C,"Noble Robe \n
"
0x06D,"Mystical Robe\n
"
