0x28C,"Title BGM 1\n
"
0x28D,"Title BGM 2\n
"
0x28E,"Name Entry\n
"
0x28F,"Prologue\n
Theme of MAXIM KISCHINE\n
"
0x290,"Entrance (Area BGM)\n
Theme of JUSTE BELMONT\n
"
0x291,"Marble Corridor\n
(Area BGM)\n
"
0x292,"Shrine of the\n
Apostates (Area BGM)\n
"
0x293,"Luminous Cavern\n
(Area BGM)\n
"
0x294,"Aqueduct of Dragons\n
(Area BGM)\n
"
0x295,"Chapel of Dissonance\n
(Area BGM)\n
"
0x296,"Clock Tower\n
(Area BGM)\n
"
0x297,"Skeleton Cave\n
(Area BGM)\n
"
0x298,"Castle (Area BGM)\n
"
0x299,"Theme of DEATH\n
"
0x29A,"Boss\n
(Loop Pattern A)\n
"
0x29B,"Boss\n
(Loop Pattern B)\n
"
0x29C,"Boss\n
(Loop Pattern C)\n
"
0x29D,"Epilogue 1\n
"
0x29E,"Game Over\n
"
0x29F,"Theme of DRACULA\n
"
0x2A0,"Last Battle\n
"
0x2A1,"Epilogue 2\n
Theme of LYDIE ELRANGER\n
"
0x2A2,"Credits\n
Theme of JUSTE BELMONT\n
"
0x2A3,"Extra Stage Music 1\n
"
0x2A4,"Extra Stage Music 2\n
"
0x2A5,"Extra Stage Music 3\n
""Vampire Killer""\n
"
0x2A6,"Extra Stage Music 4\n
"
0x2A7,"Theme of MERCHANT\n
"
0x2A8,"Theme of MAXIM KISCHINE\n
"
0x2A9,"Theme of LYDIE ELRANGER\n
"
0x2AA,"The Item Collection\n
Room BGM\n
"
